Store,Dept,Date,FutureValue
1,1,2012-11-02,26911.172305068736
1,1,2012-11-09,25055.427963035883
1,1,2012-11-16,27663.50109237935
1,1,2012-11-23,26625.914306546794
1,1,2012-11-30,27845.31388264608
1,1,2012-12-07,24152.633418263147
1,1,2012-12-14,28926.786514405092
1,1,2012-12-21,26691.743075436472
1,1,2012-12-28,30212.01485939406
1,1,2013-01-04,31171.234063215095
1,1,2013-01-11,28478.523945299185
1,1,2013-01-18,30798.204372840246
1,1,2013-01-25,27522.439444758613
1,1,2013-02-01,26553.816131096195
1,1,2013-02-08,26487.987362206513
1,1,2013-02-15,28685.414361809606
1,1,2013-02-22,28500.46686826241
1,1,2013-03-01,29202.64040308565
1,1,2013-03-08,28324.9234845566
1,1,2013-03-15,26908.037601788274
1,1,2013-03-22,24372.06264789541
1,1,2013-03-29,28265.364122227842
1,1,2013-04-05,25886.12433235802
1,1,2013-04-12,24591.491877527675
1,1,2013-04-19,23218.4918406858
1,1,2013-04-26,25685.503322408527
1,1,2013-05-03,23356.418785026082
1,1,2013-05-10,24221.596890433288
1,1,2013-05-17,22456.7589435338
1,1,2013-05-24,20055.576230700757
1,1,2013-05-31,19795.395858422504
1,1,2013-06-07,20290.678976735326
1,1,2013-06-14,19218.610454817695
1,1,2013-06-21,18751.539666029024
1,1,2013-06-28,17939.65151638965
1,1,2013-07-05,19221.745158098158
1,1,2013-07-12,18196.697185387442
1,1,2013-07-19,19406.69265164535
1,1,2013-07-26,18691.980303700264
1,2,2012-11-02,46077.36192982456
1,2,2012-11-09,46077.36192982456
1,2,2012-11-16,46077.36192982456
1,2,2012-11-23,46077.36192982456
1,2,2012-11-30,46077.36192982456
1,2,2012-12-07,46077.36192982456
1,2,2012-12-14,46077.36192982456
1,2,2012-12-21,46077.36192982456
1,2,2012-12-28,46077.36192982456
1,2,2013-01-04,46077.36192982456
1,2,2013-01-11,46077.36192982456
1,2,2013-01-18,46077.36192982456
1,2,2013-01-25,46077.36192982456
1,2,2013-02-01,46077.36192982456
1,2,2013-02-08,46077.36192982456
1,2,2013-02-15,46077.36192982456
1,2,2013-02-22,46077.36192982456
1,2,2013-03-01,46077.36192982456
1,2,2013-03-08,46077.36192982456
1,2,2013-03-15,46077.36192982456
1,2,2013-03-22,46077.36192982456
1,2,2013-03-29,46077.36192982456
1,2,2013-04-05,46077.36192982456
1,2,2013-04-12,46077.36192982456
1,2,2013-04-19,46077.36192982456
1,2,2013-04-26,46077.36192982456
1,2,2013-05-03,46077.36192982456
1,2,2013-05-10,46077.36192982456
1,2,2013-05-17,46077.36192982456
1,2,2013-05-24,46077.36192982456
1,2,2013-05-31,46077.36192982456
1,2,2013-06-07,46077.36192982456
1,2,2013-06-14,46077.36192982456
1,2,2013-06-21,46077.36192982456
1,2,2013-06-28,46077.36192982456
1,2,2013-07-05,46077.36192982456
1,2,2013-07-12,46077.36192982456
1,2,2013-07-19,46077.36192982456
1,2,2013-07-26,46077.36192982456
1,3,2012-11-02,10682.634207132323
1,3,2012-11-09,11685.523999640993
1,3,2012-11-16,10276.057264223404
1,3,2012-11-23,10836.794631318622
1,3,2012-11-30,10177.801169687082
1,3,2012-12-07,12173.416331131697
1,3,2012-12-14,9593.34681425551
1,3,2012-12-21,10801.219148814092
1,3,2012-12-28,8898.777870119438
1,3,2013-01-04,8380.392267910565
1,3,2013-01-11,9835.598909405408
1,3,2013-01-18,8581.986668769572
1,3,2013-01-25,10352.290441018826
1,3,2013-02-01,10875.758255014061
1,3,2013-02-08,10911.333737518591
1,3,2013-02-15,9723.790250105454
1,3,2013-02-22,9823.740415237231
1,3,2013-03-01,9444.268601855572
1,3,2013-03-08,9918.608368582645
1,3,2013-03-15,10684.328277727776
1,3,2013-03-22,12054.831389449928
1,3,2013-03-29,9950.795709896269
1,3,2013-04-05,11236.595291845728
1,3,2013-04-12,11936.246447768159
1,3,2013-04-19,12678.249368576937
1,3,2013-04-26,11345.015809954772
1,3,2013-05-03,12603.710262376968
1,3,2013-05-10,12136.14677803171
1,3,2013-05-17,13089.90852327222
1,3,2013-05-24,14387.566599389855
1,3,2013-05-31,14528.174458812522
1,3,2013-06-07,14260.511304730817
1,3,2013-06-14,14839.883448376027
1,3,2013-06-21,15092.299967098648
1,3,2013-06-28,15531.064251321191
1,3,2013-07-05,14838.189377780573
1,3,2013-07-12,15392.150462493977
1,3,2013-07-19,14738.2392126488
1,3,2013-07-26,15124.487308412272
1,4,2012-11-02,38043.0
1,4,2012-11-09,38086.0
1,4,2012-11-16,37944.0
1,4,2012-11-23,38022.0
1,4,2012-11-30,38152.0
1,4,2012-12-07,38147.0
1,4,2012-12-14,38020.0
1,4,2012-12-21,37905.0
1,4,2012-12-28,37864.0
1,4,2013-01-04,37881.0
1,4,2013-01-11,37812.0
1,4,2013-01-18,37548.0
1,4,2013-01-25,37528.0
1,4,2013-02-01,37508.0
1,4,2013-02-08,37594.0
1,4,2013-02-15,37456.0
1,4,2013-02-22,37349.0
1,4,2013-03-01,37321.0
1,4,2013-03-08,37345.0
1,4,2013-03-15,37328.0
1,4,2013-03-22,37246.0
1,4,2013-03-29,37327.0
1,4,2013-04-05,37432.0
1,4,2013-04-12,37535.0
1,4,2013-04-19,37469.0
1,4,2013-04-26,37544.0
1,4,2013-05-03,37618.0
1,4,2013-05-10,37667.0
1,4,2013-05-17,37653.0
1,4,2013-05-24,37637.0
1,4,2013-05-31,37626.0
1,4,2013-06-07,37611.0
1,4,2013-06-14,37591.0
1,4,2013-06-21,37570.0
1,4,2013-06-28,37554.0
1,4,2013-07-05,37541.0
1,4,2013-07-12,37529.0
1,4,2013-07-19,37516.0
1,4,2013-07-26,37505.0
1,5,2012-11-02,28444.70298537092
1,5,2012-11-09,26250.741042922124
1,5,2012-11-16,29375.218251087404
1,5,2012-11-23,97140.88008765093
1,5,2012-11-30,32739.691848773444
1,5,2012-12-07,25381.520110279293
1,5,2012-12-14,30836.944372245118
1,5,2012-12-21,28374.602563195924
1,5,2012-12-28,38318.23139264785
1,5,2013-01-04,33430.56039910224
1,5,2013-01-11,30257.59760711611
1,5,2013-01-18,32981.94266422063
1,5,2013-01-25,29121.661335845958
1,5,2013-02-01,28204.606474790973
1,5,2013-02-08,34022.838020138246
1,5,2013-02-15,30530.76237892235
1,5,2013-02-22,30308.767195330787
1,5,2013-03-01,31102.313766161496
1,5,2013-03-08,30132.920918425905
1,5,2013-03-15,28411.34339988638
1,5,2013-03-22,25829.779034777504
1,5,2013-03-29,30321.036055582324
1,5,2013-04-05,27604.829075603302
1,5,2013-04-12,25715.085574738427
1,5,2013-04-19,24144.52160039852
1,5,2013-04-26,27041.60963835239
1,5,2013-05-03,24325.821614767447
1,5,2013-05-10,25270.707162335646
1,5,2013-05-17,23163.943232736186
1,5,2013-05-24,21697.454520386284
1,5,2013-05-31,20424.261738219546
1,5,2013-06-07,20704.426674743885
1,5,2013-06-14,19683.9841655979
1,5,2013-06-21,19070.293297075023
1,5,2013-06-28,17843.96703653776
1,5,2013-07-05,20838.220803832737
1,5,2013-07-12,18317.68930465996
1,5,2013-07-19,19733.497817176256
1,5,2013-07-26,18724.880000263067
1,6,2012-11-02,3665.0
1,6,2012-11-09,3765.0
1,6,2012-11-16,3749.0
1,6,2012-11-23,3741.0
1,6,2012-11-30,3790.0
1,6,2012-12-07,3742.0
1,6,2012-12-14,3757.0
1,6,2012-12-21,3755.0
1,6,2012-12-28,3757.0
1,6,2013-01-04,3760.0
1,6,2013-01-11,3754.0
1,6,2013-01-18,3756.0
1,6,2013-01-25,3756.0
1,6,2013-02-01,3756.0
1,6,2013-02-08,3756.0
1,6,2013-02-15,3755.0
1,6,2013-02-22,3755.0
1,6,2013-03-01,3755.0
1,6,2013-03-08,3755.0
1,6,2013-03-15,3755.0
1,6,2013-03-22,3755.0
1,6,2013-03-29,3755.0
1,6,2013-04-05,3755.0
1,6,2013-04-12,3755.0
1,6,2013-04-19,3755.0
1,6,2013-04-26,3755.0
1,6,2013-05-03,3755.0
1,6,2013-05-10,3755.0
1,6,2013-05-17,3755.0
1,6,2013-05-24,3755.0
1,6,2013-05-31,3755.0
1,6,2013-06-07,3755.0
1,6,2013-06-14,3755.0
1,6,2013-06-21,3755.0
1,6,2013-06-28,3755.0
1,6,2013-07-05,3755.0
1,6,2013-07-12,3755.0
1,6,2013-07-19,3755.0
1,6,2013-07-26,3755.0
1,7,2012-11-02,21602.0
1,7,2012-11-09,21454.0
1,7,2012-11-16,21331.0
1,7,2012-11-23,21554.0
1,7,2012-11-30,21478.0
1,7,2012-12-07,21483.0
1,7,2012-12-14,21460.0
1,7,2012-12-21,21461.0
1,7,2012-12-28,21487.0
1,7,2013-01-04,21473.0
1,7,2013-01-11,21472.0
1,7,2013-01-18,21470.0
1,7,2013-01-25,21472.0
1,7,2013-02-01,21474.0
1,7,2013-02-08,21472.0
1,7,2013-02-15,21472.0
1,7,2013-02-22,21472.0
1,7,2013-03-01,21472.0
1,7,2013-03-08,21472.0
1,7,2013-03-15,21472.0
1,7,2013-03-22,21472.0
1,7,2013-03-29,21472.0
1,7,2013-04-05,21472.0
1,7,2013-04-12,21472.0
1,7,2013-04-19,21472.0
1,7,2013-04-26,21472.0
1,7,2013-05-03,21472.0
1,7,2013-05-10,21472.0
1,7,2013-05-17,21472.0
1,7,2013-05-24,21472.0
1,7,2013-05-31,21472.0
1,7,2013-06-07,21472.0
1,7,2013-06-14,21472.0
1,7,2013-06-21,21472.0
1,7,2013-06-28,21472.0
1,7,2013-07-05,21472.0
1,7,2013-07-12,21472.0
1,7,2013-07-19,21472.0
1,7,2013-07-26,21472.0
1,8,2012-11-02,39018.0
1,8,2012-11-09,39370.0
1,8,2012-11-16,38712.0
1,8,2012-11-23,39004.0
1,8,2012-11-30,39071.0
1,8,2012-12-07,39035.0
1,8,2012-12-14,39038.0
1,8,2012-12-21,38972.0
1,8,2012-12-28,39024.0
1,8,2013-01-04,39028.0
1,8,2013-01-11,39019.0
1,8,2013-01-18,39016.0
1,8,2013-01-25,39011.0
1,8,2013-02-01,39019.0
1,8,2013-02-08,39018.0
1,8,2013-02-15,39016.0
1,8,2013-02-22,39016.0
1,8,2013-03-01,39016.0
1,8,2013-03-08,39017.0
1,8,2013-03-15,39016.0
1,8,2013-03-22,39016.0
1,8,2013-03-29,39016.0
1,8,2013-04-05,39016.0
1,8,2013-04-12,39016.0
1,8,2013-04-19,39016.0
1,8,2013-04-26,39016.0
1,8,2013-05-03,39016.0
1,8,2013-05-10,39016.0
1,8,2013-05-17,39016.0
1,8,2013-05-24,39016.0
1,8,2013-05-31,39016.0
1,8,2013-06-07,39016.0
1,8,2013-06-14,39016.0
1,8,2013-06-21,39016.0
1,8,2013-06-28,39016.0
1,8,2013-07-05,39016.0
1,8,2013-07-12,39016.0
1,8,2013-07-19,39016.0
1,8,2013-07-26,39016.0
1,9,2012-11-02,30906.0
1,9,2012-11-09,30926.0
1,9,2012-11-16,30903.0
1,9,2012-11-23,31008.0
1,9,2012-11-30,31188.0
1,9,2012-12-07,31256.0
1,9,2012-12-14,31118.0
1,9,2012-12-21,31148.0
1,9,2012-12-28,31181.0
1,9,2013-01-04,31290.0
1,9,2013-01-11,31520.0
1,9,2013-01-18,31470.0
1,9,2013-01-25,31841.0
1,9,2013-02-01,32183.0
1,9,2013-02-08,32526.0
1,9,2013-02-15,32850.0
1,9,2013-02-22,33311.0
1,9,2013-03-01,33675.0
1,9,2013-03-08,33949.0
1,9,2013-03-15,33664.0
1,9,2013-03-22,33322.0
1,9,2013-03-29,33375.0
1,9,2013-04-05,33356.0
1,9,2013-04-12,33083.0
1,9,2013-04-19,32811.0
1,9,2013-04-26,32651.0
1,9,2013-05-03,32501.0
1,9,2013-05-10,32185.0
1,9,2013-05-17,32233.0
1,9,2013-05-24,32281.0
1,9,2013-05-31,32332.0
1,9,2013-06-07,32381.0
1,9,2013-06-14,32425.0
1,9,2013-06-21,32468.0
1,9,2013-06-28,32518.0
1,9,2013-07-05,32569.0
1,9,2013-07-12,32621.0
1,9,2013-07-19,32670.0
1,9,2013-07-26,32713.0
1,10,2012-11-02,30206.420791144446
1,10,2012-11-09,31303.72386434508
1,10,2012-11-16,30897.077142325605
1,10,2012-11-23,28819.646183812285
1,10,2012-11-30,29191.263165714376
1,10,2012-12-07,30106.6402501156
1,10,2012-12-14,29437.555712650068
1,10,2012-12-21,30551.831472852395
1,10,2012-12-28,31595.61400637435
1,10,2013-01-04,28897.5531744677
1,10,2013-01-11,30148.38363086921
1,10,2013-01-18,29500.69882293165
1,10,2013-01-25,28839.04690798228
1,10,2013-02-01,30801.51855718843
1,10,2013-02-08,36238.49489300539
1,10,2013-02-15,45804.9919812284
1,10,2013-02-22,33351.391330346814
1,10,2013-03-01,31112.644411152953
1,10,2013-03-08,29790.151498522067
1,10,2013-03-15,29509.053156644706
1,10,2013-03-22,31570.727804058115
1,10,2013-03-29,31691.771350191866
1,10,2013-04-05,31645.775368417275
1,10,2013-04-12,29477.06435628179
1,10,2013-04-19,29443.573944582753
1,10,2013-04-26,29174.21740186587
1,10,2013-05-03,29153.216059018912
1,10,2013-05-10,29701.523427243916
1,10,2013-05-17,32423.25644288265
1,10,2013-05-24,30487.754864785722
1,10,2013-05-31,29169.986016703642
1,10,2013-06-07,29439.89417174808
1,10,2013-06-14,31579.76575988652
1,10,2013-06-21,30521.73088391842
1,10,2013-06-28,29602.83903891726
1,10,2013-07-05,30414.701591149264
1,10,2013-07-12,30046.9482528577
1,10,2013-07-19,29346.141291922475
1,10,2013-07-26,28689.6589745557
1,11,2012-11-02,25457.0
1,11,2012-11-09,25580.0
1,11,2012-11-16,25711.0
1,11,2012-11-23,25884.0
1,11,2012-11-30,25684.0
1,11,2012-12-07,25575.0
1,11,2012-12-14,25652.0
1,11,2012-12-21,25608.0
1,11,2012-12-28,25374.0
1,11,2013-01-04,25012.0
1,11,2013-01-11,24916.0
1,11,2013-01-18,24864.0
1,11,2013-01-25,24185.0
1,11,2013-02-01,23769.0
1,11,2013-02-08,23695.0
1,11,2013-02-15,23614.0
1,11,2013-02-22,23275.0
1,11,2013-03-01,23121.0
1,11,2013-03-08,23085.0
1,11,2013-03-15,23182.0
1,11,2013-03-22,23276.0
1,11,2013-03-29,23351.0
1,11,2013-04-05,23351.0
1,11,2013-04-12,23569.0
1,11,2013-04-19,23755.0
1,11,2013-04-26,23980.0
1,11,2013-05-03,24035.0
1,11,2013-05-10,24111.0
1,11,2013-05-17,24312.0
1,11,2013-05-24,24378.0
1,11,2013-05-31,24341.0
1,11,2013-06-07,24298.0
1,11,2013-06-14,24250.0
1,11,2013-06-21,24193.0
1,11,2013-06-28,24142.0
1,11,2013-07-05,24092.0
